app_name,combined score,combined features
Prasesfee,1.1239407403915285,"(""{'Telephony Identifiers Leakage': 9, 'Device Settings Harvesting': 117, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 12, 'warning': 8, 'notice': 8, 'info': 26}"")"
Gatitos,0.584298796657513,"(""{'Telephony Identifiers Leakage': 9, 'Device Settings Harvesting': 117, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 3, 'warning': 7, 'notice': 4, 'info': 39}"")"
Label_Reader,0.5496658691527101,"(""{'Device Settings Harvesting': 40, 'Connection Interfaces Exfiltration': 2}"", ""{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"")"
Label_Reader,0.18905205841102224,"(""{'Device Settings Harvesting': 40, 'Connection Interfaces Exfiltration': 2}"", ""{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"")"
Adobe Flash Player,0.03836317135549872,"('{}', ""{'critical': 0, 'warning': 1, 'notice': 3, 'info': 48}"")"
Сбербанк,0.5876843023324336,"(""{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 67, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 2}"", ""{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"")"
禁播视频,0.712706400933445,"(""{'Telephony Identifiers Leakage': 15, 'Device Settings Harvesting': 119, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 5, 'Pim Data Leakage': 3, 'Code Execution': 4}"", ""{'critical': 4, 'warning': 6, 'notice': 9, 'info': 34}"")"
禁播视频,0.3495350454347237,"(""{'Telephony Identifiers Leakage': 15, 'Device Settings Harvesting': 119, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 5, 'Pim Data Leakage': 3, 'Code Execution': 4}"", ""{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"")"
[],1.4234799108984408,"(""{'Telephony Identifiers Leakage': 17, 'Device Settings Harvesting': 368, 'Location Lookup': 1, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Code Execution': 1}"", ""{'critical': 12, 'warning': 8, 'notice': 8, 'info': 26}"")"
Dendroid,0.21158673848220916,"(""{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 55, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Audio Video Eavesdropping': 3, 'Pim Data Leakage': 2}"", ""{'critical': 2, 'warning': 1, 'notice': 3, 'info': 47}"")"
googl app stoy,0.1790281329923274,"('{}', ""{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"")"
Döviz Borsa Altın,0.7595112378752343,"(""{'Device Settings Harvesting': 471, 'Connection Interfaces Exfiltration': 2, 'Suspicious Connection Establishment': 2}"", ""{'critical': 2, 'warning': 3, 'notice': 3, 'info': 45}"")"
창원버스,1.9919354838709675,"(""{'Telephony Identifiers Leakage': 7, 'Device Settings Harvesting': 842, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Audio Video Eavesdropping': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1, 'Code Execution': 5}"", ""{'critical': 12, 'warning': 9, 'notice': 7, 'info': 28}"")"
Snake,0.6429838415029405,"(""{'Telephony Identifiers Leakage': 11, 'Device Settings Harvesting': 103, 'Connection Interfaces Exfiltration': 2, 'Pim Data Leakage': 1, 'Code Execution': 6}"", ""{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"")"
skype,0.14527325656770426,"(""{'Telephony Identifiers Leakage': 2, 'Device Settings Harvesting': 2}"", ""{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"")"
Sincronizzazione Contatti Android,0.3468861597935107,"(""{'Telephony Identifiers Leakage': 7, 'Device Settings Harvesting': 163, 'Connection Interfaces Exfiltration': 2, 'Suspicious Connection Establishment': 4, 'Pim Data Leakage': 1, 'Code Execution': 2}"", ""{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"")"
狂爱影吧,0.38095925607269565,"(""{'Telephony Identifiers Leakage': 8, 'Device Settings Harvesting': 1, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 1}"", ""{'critical': 4, 'warning': 4, 'notice': 4, 'info': 42}"")"
Frases celebres,0.5510507148160807,"(""{'Telephony Identifiers Leakage': 9, 'Device Settings Harvesting': 117, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 3, 'warning': 4, 'notice': 8, 'info': 38}"")"
Ideal Camera,0.9525764022298961,"(""{'Telephony Identifiers Leakage': 13, 'Device Settings Harvesting': 645, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Pim Data Leakage': 1, 'Code Execution': 5}"", ""{'critical': 1, 'warning': 4, 'notice': 2, 'info': 46}"")"
文件管理,0.18018020672504628,"(""{'Code Execution': 1}"", ""{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"")"
Label_Reader,0.3987707284877485,"(""{'Device Settings Harvesting': 40, 'Connection Interfaces Exfiltration': 2}"", ""{'critical': 3, 'warning': 5, 'notice': 4, 'info': 40}"")"
Adobe Flash Player,0.14322250639386191,"('{}', ""{'critical': 3, 'warning': 0, 'notice': 3, 'info': 47}"")"
Recetas Salud,0.16997654601812673,"(""{'Telephony Identifiers Leakage': 9, 'Device Settings Harvesting': 117, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 0, 'warning': 1, 'notice': 2, 'info': 49}"")"
Romantic post,0.36566407769278825,"(""{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 150, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Audio Video Eavesdropping': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"")"
BatterySaverMobi,0.17833865664077692,"(""{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 65}"", ""{'critical': 1, 'warning': 2, 'notice': 2, 'info': 47}"")"
Label_Reader,0.2081069454429738,"(""{'Device Settings Harvesting': 41, 'Connection Interfaces Exfiltration': 2}"", ""{'critical': 3, 'warning': 0, 'notice': 4, 'info': 45}"")"
Label_Reader,0.5061876082831449,"(""{'Device Settings Harvesting': 40, 'Connection Interfaces Exfiltration': 2}"", ""{'critical': 3, 'warning': 7, 'notice': 5, 'info': 39}"")"
Facebook OTP,0.37137435619409054,"(""{'Telephony Identifiers Leakage': 6, 'Device Settings Harvesting': 1, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 4, 'Audio Video Eavesdropping': 2, 'Pim Data Leakage': 1}"", ""{'critical': 3, 'warning': 4, 'notice': 6, 'info': 39}"")"
Ziraat 156.Yıl,0.5418842151166217,"(""{'Device Settings Harvesting': 272, 'Connection Interfaces Exfiltration': 2, 'Suspicious Connection Establishment': 1}"", ""{'critical': 2, 'warning': 4, 'notice': 2, 'info': 44}"")"
Todo Amor,0.2556896531403586,"(""{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 150, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Audio Video Eavesdropping': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 1, 'warning': 1, 'notice': 2, 'info': 49}"")"
Install,0.1986133864485486,"(""{'Telephony Identifiers Leakage': 9, 'Device Settings Harvesting': 3, 'Connection Interfaces Exfiltration': 1, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 3}"", ""{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"")"
FastFlashlight,0.4820412035782055,"(""{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 60}"", ""{'critical': 3, 'warning': 7, 'notice': 3, 'info': 40}"")"
禁播视频,0.25490588942449355,"(""{'Telephony Identifiers Leakage': 15, 'Device Settings Harvesting': 119, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 5, 'Pim Data Leakage': 3, 'Code Execution': 4}"", ""{'critical': 1, 'warning': 1, 'notice': 3, 'info': 47}"")"
Label_Reader,0.04838709677419355,"(""{'Device Settings Harvesting': 40, 'Connection Interfaces Exfiltration': 2}"", ""{'critical': 0, 'warning': 0, 'notice': 3, 'info': 49}"")"
TV Remote,0.4002763798366471,"(""{'Telephony Identifiers Leakage': 13, 'Device Settings Harvesting': 320, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 4, 'Code Execution': 3}"", ""{'critical': 1, 'warning': 0, 'notice': 1, 'info': 50}"")"
Google Play Services,0.16140228882576876,"(""{'Telephony Identifiers Leakage': 6, 'Device Settings Harvesting': 8, 'Connection Interfaces Exfiltration': 1, 'Telephony Services Abuse': 2, 'Code Execution': 1}"", ""{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"")"
Music Provider,0.07942237203436776,"(""{'Telephony Identifiers Leakage': 6, 'Device Settings Harvesting': 1, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 1}"", ""{'critical': 1, 'warning': 1, 'notice': 2, 'info': 49}"")"
Brain Test,0.14181703536954757,"(""{'Code Execution': 1}"", ""{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"")"
童话酷跑,0.608451094322722,"(""{'Telephony Identifiers Leakage': 23, 'Device Settings Harvesting': 289, 'Location Lookup': 1, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 4, 'Suspicious Connection Establishment': 6, 'Pim Data Leakage': 1, 'Code Execution': 9}"", ""{'critical': 1, 'warning': 3, 'notice': 6, 'info': 42}"")"
Dendroid,0.25361238464530267,"(""{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 19, 'Telephony Services Abuse': 1, 'Audio Video Eavesdropping': 2, 'Pim Data Leakage': 2}"", ""{'critical': 1, 'warning': 3, 'notice': 6, 'info': 42}"")"
Currency Converter,0.24624029134795578,"(""{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 64}"", ""{'critical': 0, 'warning': 5, 'notice': 2, 'info': 45}"")"
Adobe Flash Player,0.07928388746803072,"('{}', ""{'critical': 0, 'warning': 1, 'notice': 5, 'info': 46}"")"
BatterySaverMobi,0.2601800888658409,"(""{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 65}"", ""{'critical': 1, 'warning': 4, 'notice': 2, 'info': 46}"")"
Label_Reader,0.10465308142892503,"(""{'Device Settings Harvesting': 40, 'Connection Interfaces Exfiltration': 2}"", ""{'critical': 0, 'warning': 2, 'notice': 2, 'info': 48}"")"
towelroot,0.18478850165592187,"(""{'Device Settings Harvesting': 4, 'Code Execution': 1}"", ""{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"")"
Google Service,0.33941977913184906,"(""{'Telephony Identifiers Leakage': 9, 'Device Settings Harvesting': 117, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 2, 'Audio Video Eavesdropping': 1, 'Suspicious Connection Establishment': 1, 'Pim Data Leakage': 2, 'Code Execution': 3}"", ""{'critical': 1, 'warning': 3, 'notice': 4, 'info': 44}"")"
