,app_name,score,features
126,air.AvmGames.MapleHouseEscape.apk,54,"{'critical': 1, 'warning': 4, 'notice': 5, 'info': 42}"
127,air.br.com.pifpaf.mobile.apk,62,"{'critical': 5, 'warning': 6, 'notice': 7, 'info': 34}"
128,afkari.io.kalimathobei.apk,58,"{'critical': 3, 'warning': 5, 'notice': 6, 'info': 38}"
129,air.A43XLIII.apk,52,"{'critical': 0, 'warning': 1, 'notice': 1, 'info': 50}"
130,air.ChristmasPuddingCakePops.apk,58,"{'critical': 3, 'warning': 5, 'notice': 4, 'info': 40}"
131,acne.blogtreat.apk,60,"{'critical': 4, 'warning': 6, 'notice': 6, 'info': 36}"
132,air.com.aquariumdeathstickman.apk,58,"{'critical': 3, 'warning': 6, 'notice': 7, 'info': 36}"
133,aboutdharma.com.apk,69,"{'critical': 8, 'warning': 7, 'notice': 7, 'info': 31}"
134,abd.abdallah.igli5.apk,69,"{'critical': 8, 'warning': 7, 'notice': 7, 'info': 31}"
135,a2z.Mobile.Event4086.apk,59,"{'critical': 3, 'warning': 6, 'notice': 9, 'info': 35}"
136,aidapp.newsportalodisha.apk,58,"{'critical': 3, 'warning': 6, 'notice': 4, 'info': 39}"
137,acquadinepi.erioni.al.apk,54,"{'critical': 1, 'warning': 1, 'notice': 2, 'info': 48}"
138,action.aspirvictorymanagement.flappy.dragon.dash.jungle.apk,54,"{'critical': 1, 'warning': 4, 'notice': 8, 'info': 39}"
139,aerostone.bigear.apk,54,"{'critical': 1, 'warning': 3, 'notice': 3, 'info': 45}"
140,ab4tec.com.chronometerandtimer.apk,58,"{'critical': 3, 'warning': 5, 'notice': 5, 'info': 39}"
141,afzkl.development.ShoppingList.apk,56,"{'critical': 2, 'warning': 5, 'notice': 4, 'info': 41}"
142,adyourself.tomorrow.apk,58,"{'critical': 3, 'warning': 6, 'notice': 5, 'info': 38}"
143,ac.robinson.chameleonnotifier.apk,56,"{'critical': 2, 'warning': 2, 'notice': 8, 'info': 40}"
144,air.brightest.yetiextrememotocross.apk,58,"{'critical': 3, 'warning': 5, 'notice': 6, 'info': 38}"
145,air.com.animatedsoftware.PavlovsDog.apk,63,"{'critical': 5, 'warning': 5, 'notice': 6, 'info': 37}"
146,air.br.com.netpoint.integravconf.apk,61,"{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"
147,air.br.com.netpoint.apptvunilever.apk,59,"{'critical': 3, 'warning': 6, 'notice': 7, 'info': 37}"
148,air.Astro.apk,58,"{'critical': 3, 'warning': 4, 'notice': 3, 'info': 42}"
149,agurapps.games.BallAndPaddles.apk,54,"{'critical': 1, 'warning': 4, 'notice': 5, 'info': 42}"
150,air.br.com.netpoint.aasp.apk,63,"{'critical': 5, 'warning': 6, 'notice': 7, 'info': 35}"
151,a2works.com.br.battery.apk,58,"{'critical': 3, 'warning': 5, 'notice': 4, 'info': 40}"
152,ac.rj.staff.apk,66,"{'critical': 7, 'warning': 5, 'notice': 5, 'info': 35}"
153,air.air.lido.LidoMobile.apk,52,"{'critical': 0, 'warning': 1, 'notice': 1, 'info': 50}"
154,air.ajazgames.escapesnapperfish.apk,58,"{'critical': 3, 'warning': 6, 'notice': 6, 'info': 37}"
155,ac.robinson.mediatablet.apk,54,"{'critical': 1, 'warning': 1, 'notice': 5, 'info': 45}"
156,air.CarolAndroid.apk,58,"{'critical': 3, 'warning': 4, 'notice': 3, 'info': 42}"
157,air.br.com.iasoft.cc2002.tablet.A2014.apk,52,"{'critical': 0, 'warning': 1, 'notice': 1, 'info': 50}"
158,adult.coloring.book.zendalas.apk,60,"{'critical': 4, 'warning': 5, 'notice': 6, 'info': 37}"
159,air.brightest.stuntratunderground.apk,58,"{'critical': 3, 'warning': 5, 'notice': 7, 'info': 37}"
160,air.br.com.cc2002.tablet.free.A2013.apk,52,"{'critical': 0, 'warning': 1, 'notice': 1, 'info': 50}"
161,air.ajazzgames.escapeallhallowseve.apk,58,"{'critical': 3, 'warning': 6, 'notice': 6, 'info': 37}"
162,a2z.Mobile.Event4208.apk,59,"{'critical': 3, 'warning': 6, 'notice': 9, 'info': 35}"
163,ageagebatsugame.taro.apk,58,"{'critical': 3, 'warning': 5, 'notice': 5, 'info': 39}"
164,ahmad.appiques.mtdm.apk,58,"{'critical': 3, 'warning': 6, 'notice': 5, 'info': 38}"
165,acs.tools.preisvergleich.apk,54,"{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"
166,air.ajazgames.escapekindnessthanksgiving.apk,58,"{'critical': 3, 'warning': 6, 'notice': 6, 'info': 37}"
167,air.com.absolutist.match3puzzle.bubblezbubbledefence.apk,60,"{'critical': 4, 'warning': 6, 'notice': 7, 'info': 35}"
168,air.babyemmachristmasdressup.apk,54,"{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"
169,air.Autism.Things.apk,56,"{'critical': 2, 'warning': 1, 'notice': 1, 'info': 48}"
170,aave.lifebarometer.apk,54,"{'critical': 1, 'warning': 5, 'notice': 5, 'info': 41}"
