app_name,score,features
com.tvone.untoenynh.apk,71.5,"{'critical': 0, 'warning': 1, 'notice': 3, 'info': 48}"
lmh.android.jjbus.apk,162.0,"{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"
com.ideal.camera.photo.video.edit.apk,170.0,"{'critical': 4, 'warning': 6, 'notice': 9, 'info': 34}"
com.cattss.apk,99.0,"{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"
ppnmjnd.fceddhi.jfbjmkf.llmgbgc.iekobbn.hmdkfjf.apk,254.0,"{'critical': 12, 'warning': 8, 'notice': 8, 'info': 26}"
com.br.srd.apk,90.5,"{'critical': 2, 'warning': 1, 'notice': 3, 'info': 47}"
com.laughtter.apk,99.0,"{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"
com.parental.control.v4.apk,105.5,"{'critical': 2, 'warning': 3, 'notice': 3, 'info': 45}"
com.bazaraa.snake.apk,259.5,"{'critical': 12, 'warning': 9, 'notice': 7, 'info': 28}"
lmh.android.cwbus.apk,162.0,"{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"
